housing_id,housing_median_age,total_rooms,total_bedrooms,population,median_house_value,households
1,41,880,129,322,452600,126
2,21,7099,1106,2401,358500,1138
3,52,1467,190,496,352100,177
4,42,1274,235,558,341300,219
5,50,1627,280,565,342200,259
6,40,919,213,413,269700,193
7,49,2535,489,1094,299200,514
8,48,3104,687,1157,241400,647
9,51,2555,665,1206,226700,595
10,43,3549,707,1551,261100,714
11,2,2202,434,910,281500,402
12,46,3503,752,1504,241800,734
13,26,2491,474,1098,213500,468
14,20,696,191,345,191300,174
15,17,2643,626,1212,159200,620
16,36,1120,283,697,140000,264
17,19,1966,347,793,152500,331
18,23,1228,293,648,155500,303
19,38,2239,455,990,158700,419
20,35,1503,298,690,162900,275
21,10,751,184,409,147500,166
22,16,1639,367,929,159800,366
23,27,2436,541,1015,113900,478
24,39,1688,337,853,99700,325
25,31,2224,437,1006,132600,422
26,29,535,123,317,107500,119
27,22,1130,244,607,93800,239
28,37,1898,421,1102,105500,397
29,28,2082,492,1131,108900,473
30,34,729,160,395,132000,155
31,32,1916,447,863,122300,378
32,47,2153,481,1168,115200,441
33,44,1922,409,1026,110400,335
34,30,1655,366,754,104900,329
35,18,2665,574,1258,109700,536
36,45,1215,282,570,97200,264
37,33,1798,432,987,104500,374
38,24,1511,390,901,103900,403
39,15,1470,330,689,191400,309
40,14,2432,715,1377,176000,696
41,13,1665,419,946,155400,395
42,25,936,311,517,150000,249
43,5,713,202,462,118800,189
44,12,950,202,467,188800,198
45,6,1443,311,660,184400,292
46,8,1656,420,718,182300,382
47,9,1125,322,616,142500,304
48,7,1007,312,558,137500,253
49,3,624,195,423,187500,160
50,4,946,375,700,112500,352
51,11,896,453,735,171900,438
52,1,1868,456,1061,93800,407
53,41,3221,853,1959,97500,720
54,21,1630,456,1162,104200,400
55,52,1170,235,701,87500,233
56,42,945,243,576,83100,220
57,50,1238,288,622,87500,259
58,40,1489,335,728,85300,244
59,49,1387,341,1074,80300,304
60,48,158,43,94,60000,57
61,51,1121,211,554,75700,187
62,43,135,29,86,75000,23
63,2,760,190,377,86100,122
64,46,1224,237,521,76100,159
65,26,828,182,392,73500,133
66,20,1010,209,604,78400,187
67,17,1455,354,788,84400,332
68,36,1027,244,492,81300,147
69,19,572,109,274,85000,82
70,23,2801,644,1823,129200,611
71,38,768,152,392,82500,127
72,35,935,297,582,95200,277
73,10,844,204,560,75000,152
74,16,12,4,18,67500,7
75,27,835,161,290,137500,133
76,39,1237,462,762,177500,439
77,31,2914,562,1236,102100,509
78,29,1207,243,721,108300,207
79,22,1745,374,1054,112500,325
80,37,684,176,344,131300,155
81,28,924,289,609,162500,289
82,34,210,56,183,112500,56
83,32,340,97,200,112500,87
84,47,386,164,346,137500,155
85,44,948,184,467,118800,169
86,30,773,143,377,98200,115
87,18,880,451,582,118800,380
88,45,875,348,546,162500,330
89,33,105,42,125,137500,39
90,24,249,78,396,500001,85
91,15,994,392,800,162500,362
92,14,215,87,904,137500,88
93,13,96,31,191,162500,34
94,25,1055,347,718,187500,302
95,5,1715,623,1327,179200,467
96,12,5329,2477,3469,130000,2323
97,6,4596,1331,2048,183800,1180
98,8,335,107,202,125000,91
99,9,3682,1270,2024,170000,1250
100,7,3633,1085,1838,193100,980
101,3,4656,1414,2304,257800,1250
102,4,5806,1603,2563,273400,1497
103,11,854,242,389,237500,228
104,1,2155,701,895,350000,613
105,41,5871,1914,2689,335700,1789
106,21,1509,225,674,313400,244
107,52,2026,482,709,268500,456
108,42,1758,460,686,259400,422
109,50,3481,751,1444,275700,718
110,40,3337,855,1520,225000,802
111,49,1424,289,550,262500,253
112,48,3809,1098,1806,218500,1022
113,51,3959,1196,1749,255000,1217
114,43,2376,559,939,224100,519
115,2,1613,428,675,243100,422
116,46,1279,287,534,231600,291
117,26,5022,1750,2558,218500,1661
118,20,4190,1105,1786,234100,1037
119,17,2515,399,970,327600,373
120,36,3175,454,1098,347600,485
121,19,2576,406,794,366100,376
122,23,334,54,98,335000,47
123,38,2800,411,1061,373600,403
124,35,3529,574,1177,389500,555
125,10,2612,365,901,391100,367
126,16,5287,1048,2031,337300,956
127,27,2935,473,1031,295200,479
128,39,3424,597,1358,292300,597
129,31,4991,674,1616,411500,654
130,29,2211,346,844,311500,343
131,22,3038,490,1140,325900,496
132,37,1617,210,533,392600,194
133,28,2865,460,1072,319300,443
134,34,5065,788,1627,333300,766
135,32,1326,184,463,335200,190
136,47,1589,223,542,351200,211
137,44,1791,271,661,368900,269
138,30,1835,264,635,365900,263
139,18,1229,181,420,366700,176
140,45,3770,534,1265,362800,500
141,33,292,38,126,483300,52
142,24,2375,333,813,331400,350
143,15,2964,436,1067,323500,426
144,14,2833,605,1260,216700,552
145,13,2254,535,951,233100,487
146,25,1389,212,510,296400,224
147,5,1971,335,765,273700,308
148,12,2183,465,1129,227700,460
149,6,2286,464,1073,199600,441
150,8,2721,541,1185,239800,515
151,9,2024,339,756,270100,340
152,7,2944,536,1034,302100,521
153,3,2033,486,787,269500,459
154,4,1433,229,612,314700,213
155,11,2927,402,1021,390100,380
156,1,2315,292,861,410300,258
157,41,2485,313,953,352400,327
158,21,1490,238,634,287300,256
159,52,2814,365,878,348700,352
160,42,2093,550,918,243800,483
161,50,888,168,360,211500,175
162,40,2087,510,1197,218400,488
163,49,2513,502,1048,269900,518
164,48,3232,835,1373,218800,747
165,51,4120,1065,1715,225000,1015
166,43,2364,792,1359,250000,722
167,2,1471,469,1062,171400,413
168,46,2468,864,1335,193800,773
169,26,1632,492,1171,125000,429
170,20,1786,526,1475,97500,460
171,17,629,188,742,125000,196
172,36,1339,391,1086,138800,363
173,19,1678,606,1645,116700,543
174,23,2344,647,1710,151800,644
175,38,996,228,731,127000,228
176,35,1591,373,1118,128600,347
177,10,1586,398,1006,140600,335
178,16,2046,588,1213,182700,554
179,27,1192,289,772,146900,257
180,39,1803,420,1321,122800,401
181,31,2838,749,1487,169300,677
182,29,783,184,488,126600,186
183,22,1590,414,949,127900,392
184,37,1746,480,1149,123500,415
185,28,1252,299,844,111900,280
186,34,5963,1344,4367,112800,1231
187,32,1783,395,1659,107900,412
188,47,999,264,1011,137500,263
189,44,1469,431,1464,105500,389
190,30,1372,395,1237,95500,303
191,18,674,180,647,116100,168
192,45,1626,376,1284,112200,357
193,33,175,43,228,75000,55
194,24,461,129,381,112500,123
195,15,902,237,846,125000,227
196,14,2373,779,1659,115000,676
197,13,391,128,520,95000,138
198,25,1137,301,866,96400,259
199,5,769,206,612,72000,183
200,12,472,146,415,71300,126
201,6,862,215,994,80800,213
202,8,1920,530,1525,128800,477
203,9,1420,472,1506,112500,438
204,7,986,258,1008,119400,255
205,3,2340,825,2813,118100,751
206,4,1696,396,1481,122500,343
207,11,1175,217,859,106300,219
208,1,2343,574,1608,132500,523
209,17,610,145,425,122700,140
210,41,930,199,564,113300,184
211,21,1487,314,961,109500,272
212,52,3424,690,2273,164700,685
213,42,762,190,600,125000,195
214,50,2366,575,1647,124700,527
215,40,1826,450,1201,136700,424
216,49,3049,711,2167,141700,659
217,48,1640,376,939,150000,340
218,51,1543,307,859,138800,292
219,43,2364,557,1517,139200,516
220,2,1745,409,1143,143800,386
221,46,2003,500,1109,156500,464
222,26,2018,447,1221,151000,446
223,20,3045,499,1115,273000,455
224,17,1547,293,706,217100,268
225,36,3519,711,1883,187100,706
226,19,2070,354,804,239600,340
227,23,1321,263,506,229700,252
228,38,1694,259,610,257300,238
229,35,1938,341,768,246900,332
230,10,968,195,462,179900,184
231,16,1060,256,667,169600,235
232,27,2041,405,1059,203300,399
233,39,1813,271,637,263400,277
234,31,2718,451,1106,231800,454
235,29,3144,761,1737,140500,669
236,22,1802,459,1009,126000,390
237,37,882,195,737,122000,210
238,28,1621,452,1354,134700,491
239,34,2115,533,1530,139400,474
240,32,2021,528,1410,115400,480
241,47,2239,508,1390,137300,569
242,44,1477,300,1065,137000,269
243,30,1056,224,792,142600,245
244,18,898,244,779,137500,245
245,45,2968,710,2269,111700,610
246,33,1702,460,1227,126800,407
247,24,881,248,753,111300,241
248,15,494,114,547,114800,135
249,14,1776,473,1807,102300,440
250,13,1678,514,1700,131900,495
251,25,1637,463,1543,119100,393
252,5,1420,314,1085,80600,300
253,12,591,173,353,80600,137
254,6,745,153,473,88800,149
255,8,2272,498,1621,102400,483
256,9,1234,375,1183,98700,354
257,7,1017,328,836,100000,277
258,3,932,254,900,92300,263
259,4,2689,597,1888,94800,537
260,11,1547,415,1024,102000,341
261,1,2300,443,1225,158400,423
262,41,1752,399,1071,121600,376
263,21,1867,403,1128,129100,378
264,52,2430,502,1537,121400,484
265,42,1729,414,1240,102800,393
266,50,1026,180,469,160000,168
267,40,2170,428,1086,143900,425
268,49,2329,445,1144,151200,417
269,48,2492,415,1109,164400,375
270,51,2198,397,984,156500,369
271,43,142,31,575,225000,47
272,2,1183,205,496,174200,209
273,46,1070,193,555,166900,190
274,26,1766,332,869,163500,327
275,20,617,95,236,253000,106
276,17,1411,233,626,240700,214
277,36,2109,387,922,208100,329
278,19,1229,243,582,198100,256
279,23,954,217,546,172800,201
280,38,1643,262,620,336700,266
281,35,1355,195,442,318200,195
282,10,2317,336,955,285800,328
283,16,2459,317,916,293000,324
284,27,12842,2048,4985,371000,1967
285,39,1524,260,651,157300,267
286,31,3326,746,1704,135300,703
287,29,1985,440,1085,136700,407
288,22,1642,322,713,160700,284
289,37,893,177,468,140600,181
290,28,653,128,296,144000,121
291,34,1256,20,570,161900,218
292,32,977,194,446,156300,180
293,47,2324,397,968,176000,384
294,44,1583,349,857,145800,316
295,30,1612,342,912,141900,322
296,18,2424,533,1360,90700,452
297,45,1594,367,1074,90600,355
298,33,2118,413,965,107900,382
299,24,1575,358,933,107000,320
300,15,1764,397,987,98200,354
301,14,1187,261,907,89500,246
302,13,754,175,447,93800,165
303,25,2308,452,1299,96700,451
304,5,909,236,396,97500,157
305,12,1180,257,877,97300,268
306,6,2018,408,1111,91200,367
307,8,1368,282,790,91400,269
308,9,2744,547,1479,96200,554
309,7,2107,471,1173,120100,438
310,3,1748,362,1029,100000,366
311,4,2024,391,1030,94700,350
312,11,1116,259,826,85700,279
313,1,2036,510,1412,89300,454
314,41,1852,393,1132,101400,349
315,21,921,207,522,72500,159
