proximity_id,ocean_proximity
10001,NEAR BAY
10002,NEAR BAY
10003,NEAR BAY
10004,NEAR BAY
10005,NEAR BAY
10006,NEAR BAY
10007,NEAR BAY
10008,NEAR BAY
10009,NEAR BAY
10010,NEAR BAY
10011,NEAR BAY
10012,NEAR BAY
10013,NEAR BAY
10014,NEAR BAY
10015,NEAR BAY
10016,NEAR BAY
10017,NEAR BAY
10018,NEAR BAY
10019,NEAR BAY
10020,NEAR BAY
10021,NEAR BAY
10022,NEAR BAY
10023,NEAR BAY
10024,NEAR BAY
10025,NEAR BAY
10026,NEAR BAY
10027,NEAR BAY
10028,NEAR BAY
10029,NEAR BAY
10030,NEAR BAY
10031,NEAR BAY
10032,NEAR BAY
10033,NEAR BAY
10034,NEAR BAY
10035,NEAR BAY
10036,NEAR BAY
10037,NEAR BAY
10038,NEAR BAY
10039,NEAR BAY
10040,NEAR BAY
10041,NEAR BAY
10042,NEAR BAY
10043,NEAR BAY
10044,NEAR BAY
10045,NEAR BAY
10046,NEAR BAY
10047,NEAR BAY
10048,NEAR BAY
10049,NEAR BAY
10050,NEAR BAY
10051,NEAR BAY
10052,NEAR BAY
10053,NEAR BAY
10054,NEAR BAY
10055,NEAR BAY
10056,NEAR BAY
10057,NEAR BAY
10058,NEAR BAY
10059,NEAR BAY
10060,NEAR BAY
10061,NEAR BAY
10062,NEAR BAY
10063,NEAR BAY
10064,NEAR BAY
10065,NEAR BAY
10066,NEAR BAY
10067,NEAR BAY
10068,NEAR BAY
10069,NEAR BAY
10070,NEAR BAY
10071,NEAR BAY
10072,NEAR BAY
10073,NEAR BAY
10074,NEAR BAY
10075,NEAR BAY
10076,NEAR BAY
10077,NEAR BAY
10078,NEAR BAY
10079,NEAR BAY
10080,NEAR BAY
10081,NEAR BAY
10082,NEAR BAY
10083,NEAR BAY
10084,NEAR BAY
10085,NEAR BAY
10086,NEAR BAY
10087,NEAR BAY
10088,NEAR BAY
10089,NEAR BAY
10090,NEAR BAY
10091,NEAR BAY
10092,NEAR BAY
10093,NEAR BAY
10094,NEAR BAY
10095,NEAR BAY
10096,NEAR BAY
10097,NEAR BAY
10098,NEAR BAY
10099,NEAR BAY
10100,NEAR BAY
10101,NEAR BAY
10102,NEAR BAY
10103,NEAR BAY
10104,NEAR BAY
10105,NEAR BAY
10106,NEAR BAY
10107,NEAR BAY
10108,NEAR BAY
10109,NEAR BAY
10110,NEAR BAY
10111,NEAR BAY
10112,NEAR BAY
10113,NEAR BAY
10114,NEAR BAY
10115,NEAR BAY
10116,NEAR BAY
10117,NEAR BAY
10118,NEAR BAY
10119,NEAR BAY
10120,NEAR BAY
10121,NEAR BAY
10122,NEAR BAY
10123,NEAR BAY
10124,NEAR BAY
10125,NEAR BAY
10126,NEAR BAY
10127,NEAR BAY
10128,NEAR BAY
10129,NEAR BAY
10130,NEAR BAY
10131,NEAR BAY
10132,NEAR BAY
10133,NEAR BAY
10134,NEAR BAY
10135,NEAR BAY
10136,NEAR BAY
10137,NEAR BAY
10138,NEAR BAY
10139,NEAR BAY
10140,NEAR BAY
10141,NEAR BAY
10142,NEAR BAY
10143,NEAR BAY
10144,NEAR BAY
10145,NEAR BAY
10146,NEAR BAY
10147,NEAR BAY
10148,NEAR BAY
10149,NEAR BAY
10150,NEAR BAY
10151,NEAR BAY
10152,NEAR BAY
10153,NEAR BAY
10154,NEAR BAY
10155,NEAR BAY
10156,NEAR BAY
10157,NEAR BAY
10158,NEAR BAY
10159,NEAR BAY
10160,NEAR BAY
10161,NEAR BAY
10162,NEAR BAY
10163,NEAR BAY
10164,NEAR BAY
10165,NEAR BAY
10166,NEAR BAY
10167,NEAR BAY
10168,NEAR BAY
10169,NEAR BAY
10170,NEAR BAY
10171,NEAR BAY
10172,NEAR BAY
10173,NEAR BAY
10174,NEAR BAY
10175,NEAR BAY
10176,NEAR BAY
10177,NEAR BAY
10178,NEAR BAY
10179,NEAR BAY
10180,NEAR BAY
10181,NEAR BAY
10182,NEAR BAY
10183,NEAR BAY
10184,NEAR BAY
10185,NEAR BAY
10186,NEAR BAY
10187,NEAR BAY
10188,NEAR BAY
10189,NEAR BAY
10190,NEAR BAY
