proximity_id,housing_id,owner_id,add_id
10001,1,FW001,AD001
10002,2,FW002,AD002
10003,3,FW003,AD003
10004,4,FW004,AD004
10005,5,FW005,AD005
10006,6,FW006,AD006
10007,7,FW007,AD007
10008,8,FW008,AD008
10009,9,FW009,AD009
10010,10,FW010,AD010
10011,11,FW011,AD011
10012,12,FW012,AD012
10013,13,FW013,AD013
10014,14,FW014,AD014
10015,15,FW015,AD015
10016,16,FW016,AD016
10017,17,FW017,AD017
10018,18,FW018,AD018
10019,19,FW019,AD019
10020,20,FW020,AD020
10021,21,FW021,AD021
10022,22,FW022,AD022
10023,23,FW023,AD023
10024,24,FW024,AD024
10025,25,FW025,AD025
10026,26,FW026,AD026
10027,27,FW027,AD027
10028,28,FW028,AD028
10029,29,FW029,AD029
10030,30,FW030,AD030
10031,31,FW031,AD031
10032,32,FW032,AD032
10033,33,FW033,AD033
10034,34,FW034,AD034
10035,35,FW035,AD035
10036,36,FW036,AD036
10037,37,FW037,AD037
10038,38,FW038,AD038
10039,39,FW039,AD039
10040,40,FW040,AD040
10041,41,FW041,AD041
10042,42,FW042,AD042
10043,43,FW043,AD043
10044,44,FW044,AD044
10045,45,FW045,AD045
10046,46,FW046,AD046
10047,47,FW047,AD047
10048,48,FW048,AD048
10049,49,FW049,AD049
10050,50,FW050,AD050
10051,51,FW051,AD051
10052,52,FW052,AD052
10053,53,FW053,AD053
10054,54,FW054,AD054
10055,55,FW055,AD055
10056,56,FW056,AD056
10057,57,FW057,AD057
10058,58,FW058,AD058
10059,59,FW059,AD059
10060,60,FW060,AD060
10061,61,FW061,AD061
10062,62,FW062,AD062
10063,63,FW063,AD063
10064,64,FW064,AD064
10065,65,FW065,AD065
10066,66,FW066,AD066
10067,67,FW067,AD067
10068,68,FW068,AD068
10069,69,FW069,AD069
10070,70,FW070,AD070
10071,71,FW071,AD071
10072,72,FW072,AD072
10073,73,FW073,AD073
10074,74,FW074,AD074
10075,75,FW075,AD075
10076,76,FW076,AD076
10077,77,FW077,AD077
10078,78,FW078,AD078
10079,79,FW079,AD079
10080,80,FW080,AD080
10081,81,FW081,AD081
10082,82,FW082,AD082
10083,83,FW083,AD083
10084,84,FW084,AD084
10085,85,FW085,AD085
10086,86,FW086,AD086
10087,87,FW087,AD087
10088,88,FW088,AD088
10089,89,FW089,AD089
10090,90,FW090,AD090
10091,91,FW091,AD091
10092,92,FW092,AD092
10093,93,FW093,AD093
10094,94,FW094,AD094
10095,95,FW095,AD095
10096,96,FW096,AD096
10097,97,FW097,AD097
10098,98,FW098,AD098
10099,99,FW099,AD099
10100,100,FW100,AD100
10101,101,FW101,AD101
10102,102,FW102,AD102
