housing_id,housing_median_age,total_rooms,total_bedrooms,population,median_house_value,households,add_id
1,41,880,129,322,452600,126,AD001
2,21,7099,1106,2401,358500,1138,AD002
3,52,1467,190,496,352100,177,AD003
4,42,1274,235,558,341300,219,AD004
5,50,1627,280,565,342200,259,AD005
6,40,919,213,413,269700,193,AD006
7,49,2535,489,1094,299200,514,AD007
8,48,3104,687,1157,241400,647,AD008
9,51,2555,665,1206,226700,595,AD009
10,43,3549,707,1551,261100,714,AD010
11,2,2202,434,910,281500,402,AD011
12,46,3503,752,1504,241800,734,AD012
13,26,2491,474,1098,213500,468,AD013
14,20,696,191,345,191300,174,AD014
15,17,2643,626,1212,159200,620,AD015
16,36,1120,283,697,140000,264,AD016
17,19,1966,347,793,152500,331,AD017
18,23,1228,293,648,155500,303,AD018
19,38,2239,455,990,158700,419,AD019
20,35,1503,298,690,162900,275,AD020
21,10,751,184,409,147500,166,AD021
22,16,1639,367,929,159800,366,AD022
23,27,2436,541,1015,113900,478,AD023
24,39,1688,337,853,99700,325,AD024
25,31,2224,437,1006,132600,422,AD025
26,29,535,123,317,107500,119,AD026
27,22,1130,244,607,93800,239,AD027
28,37,1898,421,1102,105500,397,AD028
29,28,2082,492,1131,108900,473,AD029
30,34,729,160,395,132000,155,AD030
31,32,1916,447,863,122300,378,AD031
32,47,2153,481,1168,115200,441,AD032
33,44,1922,409,1026,110400,335,AD033
34,30,1655,366,754,104900,329,AD034
35,18,2665,574,1258,109700,536,AD035
36,45,1215,282,570,97200,264,AD036
37,33,1798,432,987,104500,374,AD037
38,24,1511,390,901,103900,403,AD038
39,15,1470,330,689,191400,309,AD039
40,14,2432,715,1377,176000,696,AD040
41,13,1665,419,946,155400,395,AD041
42,25,936,311,517,150000,249,AD042
43,5,713,202,462,118800,189,AD043
44,12,950,202,467,188800,198,AD044
45,6,1443,311,660,184400,292,AD045
46,8,1656,420,718,182300,382,AD046
47,9,1125,322,616,142500,304,AD047
48,7,1007,312,558,137500,253,AD048
49,3,624,195,423,187500,160,AD049
50,4,946,375,700,112500,352,AD050
51,11,896,453,735,171900,438,AD051
52,1,1868,456,1061,93800,407,AD052
53,41,3221,853,1959,97500,720,AD053
54,21,1630,456,1162,104200,400,AD054
55,52,1170,235,701,87500,233,AD055
56,42,945,243,576,83100,220,AD056
57,50,1238,288,622,87500,259,AD057
58,40,1489,335,728,85300,244,AD058
59,49,1387,341,1074,80300,304,AD059
60,48,158,43,94,60000,57,AD060
61,51,1121,211,554,75700,187,AD061
62,43,135,29,86,75000,23,AD062
63,2,760,190,377,86100,122,AD063
64,46,1224,237,521,76100,159,AD064
65,26,828,182,392,73500,133,AD065
66,20,1010,209,604,78400,187,AD066
67,17,1455,354,788,84400,332,AD067
68,36,1027,244,492,81300,147,AD068
69,19,572,109,274,85000,82,AD069
70,23,2801,644,1823,129200,611,AD070
71,38,768,152,392,82500,127,AD071
72,35,935,297,582,95200,277,AD072
73,10,844,204,560,75000,152,AD073
74,16,12,4,18,67500,7,AD074
75,27,835,161,290,137500,133,AD075
76,39,1237,462,762,177500,439,AD076
77,31,2914,562,1236,102100,509,AD077
78,29,1207,243,721,108300,207,AD078
79,22,1745,374,1054,112500,325,AD079
80,37,684,176,344,131300,155,AD080
81,28,924,289,609,162500,289,AD081
82,34,210,56,183,112500,56,AD082
83,32,340,97,200,112500,87,AD083
84,47,386,164,346,137500,155,AD084
85,44,948,184,467,118800,169,AD085
86,30,773,143,377,98200,115,AD086
87,18,880,451,582,118800,380,AD087
88,45,875,348,546,162500,330,AD088
89,33,105,42,125,137500,39,AD089
90,24,249,78,396,500001,85,AD090
91,15,994,392,800,162500,362,AD091
92,14,215,87,904,137500,88,AD092
93,13,96,31,191,162500,34,AD093
94,25,1055,347,718,187500,302,AD094
95,5,1715,623,1327,179200,467,AD095
96,12,5329,2477,3469,130000,2323,AD096
97,6,4596,1331,2048,183800,1180,AD097
98,8,335,107,202,125000,91,AD098
99,9,3682,1270,2024,170000,1250,AD099
100,7,3633,1085,1838,193100,980,AD100
101,3,4656,1414,2304,257800,1250,AD101
102,4,5806,1603,2563,273400,1497,AD102
103,11,854,242,389,237500,228,AD103
104,1,2155,701,895,350000,613,AD104
105,41,5871,1914,2689,335700,1789,AD105
106,21,1509,225,674,313400,244,AD106
107,52,2026,482,709,268500,456,AD107
108,42,1758,460,686,259400,422,AD108
109,50,3481,751,1444,275700,718,AD109
110,40,3337,855,1520,225000,802,AD110
111,49,1424,289,550,262500,253,AD111
112,48,3809,1098,1806,218500,1022,AD112
113,51,3959,1196,1749,255000,1217,AD113
114,43,2376,559,939,224100,519,AD114
115,2,1613,428,675,243100,422,AD115
116,46,1279,287,534,231600,291,AD116
117,26,5022,1750,2558,218500,1661,AD117
118,20,4190,1105,1786,234100,1037,AD118
119,17,2515,399,970,327600,373,AD119
120,36,3175,454,1098,347600,485,AD120
121,19,2576,406,794,366100,376,AD121
122,23,334,54,98,335000,47,AD122
123,38,2800,411,1061,373600,403,AD123
124,35,3529,574,1177,389500,555,AD124
125,10,2612,365,901,391100,367,AD125
126,16,5287,1048,2031,337300,956,AD126
127,27,2935,473,1031,295200,479,AD127
128,39,3424,597,1358,292300,597,AD128
129,31,4991,674,1616,411500,654,AD129
130,29,2211,346,844,311500,343,AD130
131,22,3038,490,1140,325900,496,AD131
132,37,1617,210,533,392600,194,AD132
133,28,2865,460,1072,319300,443,AD133
134,34,5065,788,1627,333300,766,AD134
135,32,1326,184,463,335200,190,AD135
136,47,1589,223,542,351200,211,AD136
137,44,1791,271,661,368900,269,AD137
138,30,1835,264,635,365900,263,AD138
139,18,1229,181,420,366700,176,AD139
140,45,3770,534,1265,362800,500,AD140
141,33,292,38,126,483300,52,AD141
142,24,2375,333,813,331400,350,AD142
143,15,2964,436,1067,323500,426,AD143
144,14,2833,605,1260,216700,552,AD144
145,13,2254,535,951,233100,487,AD145
146,25,1389,212,510,296400,224,AD146
147,5,1971,335,765,273700,308,AD147
148,12,2183,465,1129,227700,460,AD148
149,6,2286,464,1073,199600,441,AD149
150,8,2721,541,1185,239800,515,AD150
151,9,2024,339,756,270100,340,AD151
152,7,2944,536,1034,302100,521,AD152
153,3,2033,486,787,269500,459,AD153
154,4,1433,229,612,314700,213,AD154
155,11,2927,402,1021,390100,380,AD155
156,1,2315,292,861,410300,258,AD156
157,41,2485,313,953,352400,327,AD157
158,21,1490,238,634,287300,256,AD158
159,52,2814,365,878,348700,352,AD159
160,42,2093,550,918,243800,483,AD160
161,50,888,168,360,211500,175,AD161
162,40,2087,510,1197,218400,488,AD162
163,49,2513,502,1048,269900,518,AD163
164,48,3232,835,1373,218800,747,AD164
165,51,4120,1065,1715,225000,1015,AD165
166,43,2364,792,1359,250000,722,AD166
167,2,1471,469,1062,171400,413,AD167
168,46,2468,864,1335,193800,773,AD168
169,26,1632,492,1171,125000,429,AD169
170,20,1786,526,1475,97500,460,AD170
171,17,629,188,742,125000,196,AD171
172,36,1339,391,1086,138800,363,AD172
173,19,1678,606,1645,116700,543,AD173
174,23,2344,647,1710,151800,644,AD174
175,38,996,228,731,127000,228,AD175
176,35,1591,373,1118,128600,347,AD176
177,10,1586,398,1006,140600,335,AD177
178,16,2046,588,1213,182700,554,AD178
179,27,1192,289,772,146900,257,AD179
180,39,1803,420,1321,122800,401,AD180
181,31,2838,749,1487,169300,677,AD181
182,29,783,184,488,126600,186,AD182
183,22,1590,414,949,127900,392,AD183
184,37,1746,480,1149,123500,415,AD184
185,28,1252,299,844,111900,280,AD185
186,34,5963,1344,4367,112800,1231,AD186
187,32,1783,395,1659,107900,412,AD187
188,47,999,264,1011,137500,263,AD188
189,44,1469,431,1464,105500,389,AD189
190,30,1372,395,1237,95500,303,AD190
191,18,674,180,647,116100,168,AD191
192,45,1626,376,1284,112200,357,AD192
193,33,175,43,228,75000,55,AD193
194,24,461,129,381,112500,123,AD194
195,15,902,237,846,125000,227,AD195
196,14,2373,779,1659,115000,676,AD196
197,13,391,128,520,95000,138,AD197
198,25,1137,301,866,96400,259,AD198
199,5,769,206,612,72000,183,AD199
200,12,472,146,415,71300,126,AD200
201,6,862,215,994,80800,213,AD201
202,8,1920,530,1525,128800,477,AD202
203,9,1420,472,1506,112500,438,AD203
204,7,986,258,1008,119400,255,AD204
205,3,2340,825,2813,118100,751,AD205
206,4,1696,396,1481,122500,343,AD206
207,11,1175,217,859,106300,219,AD207
208,1,2343,574,1608,132500,523,AD208
209,17,610,145,425,122700,140,AD209
210,41,930,199,564,113300,184,AD210
211,21,1487,314,961,109500,272,AD211
212,52,3424,690,2273,164700,685,AD212
213,42,762,190,600,125000,195,AD213
214,50,2366,575,1647,124700,527,AD214
215,40,1826,450,1201,136700,424,AD215
216,49,3049,711,2167,141700,659,AD216
217,48,1640,376,939,150000,340,AD217
218,51,1543,307,859,138800,292,AD218
219,43,2364,557,1517,139200,516,AD219
220,2,1745,409,1143,143800,386,AD220
221,46,2003,500,1109,156500,464,AD221
222,26,2018,447,1221,151000,446,AD222
223,20,3045,499,1115,273000,455,AD223
