loan_id,loan_amount,month,year,day
101,94756,July,2015,1
102,92450,July,2014,1
103,69394,July,2013,1
104,88190,July,2012,1
105,54701,July,2011,1
106,57505,July,2010,1
107,81667,July,2009,1
108,55384,July,2008,1
109,59287,July,2007,1
110,93050,July,2006,1
111,95366,July,2005,1
112,77882,July,2004,1
113,61891,July,2003,1
114,65441,July,2002,1
115,62094,July,2001,1
116,97616,July,2000,1
117,86198,July,2015,1
118,59575,July,2014,1
119,76588,July,2013,1
120,63419,July,2012,1
121,84015,July,2011,1
122,98379,July,2010,1
123,92779,July,2009,1
124,98156,July,2008,1
125,63621,July,2007,1
126,64084,July,2006,1
127,73980,July,2005,1
128,56297,July,2004,1
129,98442,July,2003,1
130,60050,July,2002,1
131,64796,July,2001,1
132,57750,July,2000,1
133,86709,July,2015,1
134,87068,July,2014,2
135,81963,July,2013,2
136,83172,July,2012,2
137,62732,July,2011,2
138,94663,July,2010,2
139,89412,July,2009,2
140,99381,July,2008,2
141,85071,July,2007,2
142,60887,July,2006,2
143,83194,July,2005,2
144,92547,July,2004,2
145,90561,July,2003,2
146,99020,July,2002,2
147,71641,July,2001,2
148,59136,July,2000,2
149,81178,July,2015,2
150,76828,July,2014,2
151,56456,July,2013,2
152,69734,July,2012,2
153,94979,July,2011,2
154,77115,July,2010,2
155,83238,July,2009,2
156,57806,July,2008,2
157,64218,July,2007,2
158,99562,July,2006,2
159,77150,July,2005,2
160,74165,July,2004,2
161,88632,July,2003,2
162,95929,July,2002,2
163,83478,July,2001,2
164,56486,July,2000,2
165,90582,July,2015,2
166,58320,July,2014,3
167,76135,July,2013,3
168,84276,July,2012,3
169,93444,July,2011,3
170,97078,July,2010,3
171,50666,July,2009,3
172,83508,July,2008,3
173,52762,July,2007,3
174,74181,July,2006,3
175,59941,July,2005,3
176,72127,July,2004,3
177,82349,July,2003,3
178,91875,July,2002,3
179,58416,July,2001,3
180,92642,July,2000,3
181,94172,July,2015,3
182,71926,July,2014,3
183,93931,July,2013,3
184,79665,July,2012,3
185,50502,July,2011,3
186,87281,July,2010,3
187,91063,July,2009,3
188,63464,July,2008,3
189,57333,July,2007,3
190,75039,July,2006,3
191,95351,July,2005,3
192,81707,July,2004,3
193,57703,July,2003,3
194,66231,July,2002,3
195,57762,July,2001,3
196,96937,July,2000,3
197,56192,July,2015,3
198,96377,July,2014,3
199,50299,July,2013,3
200,98517,July,2012,3
201,88817,July,2011,4
202,81969,July,2010,4
203,73336,July,2009,4
204,81417,July,2008,4
205,55955,July,2007,4
206,86247,July,2006,4
207,59751,July,2005,4
208,98617,July,2004,4
209,94255,July,2003,4
210,91295,July,2002,4
211,59654,July,2001,4
212,66261,July,2000,4
213,56550,July,2015,4
214,81542,July,2014,4
215,78305,July,2013,4
216,64154,July,2012,4
217,77996,July,2011,4
218,94658,July,2010,4
219,99119,July,2009,4
220,51234,July,2008,4
221,57453,July,2007,4
222,69123,July,2006,4
223,73450,July,2005,4
224,89415,July,2004,4
225,68471,July,2003,4
226,51324,July,2002,4
227,77487,July,2001,4
228,80355,July,2000,4
229,52689,July,2015,4
230,62560,July,2014,4
231,67859,July,2013,4
232,88899,July,2012,5
233,58345,July,2011,5
234,76813,July,2010,5
235,67251,July,2009,5
236,81418,July,2008,5
237,60394,July,2007,5
238,70121,July,2006,5
239,61523,July,2005,5
240,87713,July,2004,5
241,94596,July,2003,5
242,68208,July,2002,5
243,52247,July,2001,5
244,72822,July,2000,5
245,72721,July,2015,5
246,94901,July,2014,5
247,81994,July,2013,5
248,81211,July,2012,5
249,55848,July,2011,5
250,83265,July,2010,5
251,60305,July,2009,5
252,67903,July,2008,5
253,98105,July,2007,5
254,67317,July,2006,5
255,72469,July,2005,5
256,59357,July,2004,5
257,95912,July,2003,5
258,93102,July,2002,5
259,62910,July,2001,5
260,60944,July,2000,5
261,65472,July,2015,6
262,89948,July,2014,6
263,95561,July,2013,6
264,80289,July,2012,6
265,61393,July,2011,6
266,81120,July,2010,6
267,79312,July,2009,6
268,96546,July,2008,6
269,72405,July,2007,6
270,85058,July,2006,6
271,96767,July,2005,6
272,69791,July,2004,6
273,84968,July,2003,6
274,56481,July,2002,6
275,82911,July,2001,6
276,78651,July,2000,6
277,66887,July,2015,6
278,86836,July,2014,6
279,98154,July,2013,6
280,78117,July,2012,6
281,85017,July,2011,6
282,99314,July,2010,6
283,60149,July,2009,6
284,57044,July,2008,6
285,96198,July,2007,6
286,94477,July,2006,6
287,95857,July,2005,6
288,62343,July,2004,6
289,53989,July,2003,6
290,59258,July,2002,6
291,84965,July,2001,6
292,93531,July,2000,6
293,85343,July,2015,6
294,65630,July,2014,7
295,72721,July,2013,7
296,69067,July,2012,7
297,51628,July,2011,7
298,60136,July,2010,7
299,53238,July,2009,7
300,97019,July,2008,7
301,97140,July,2007,7
302,66266,July,2006,7
303,63379,July,2005,7
304,77642,July,2004,7
305,63207,July,2003,7
306,63002,July,2002,7
307,71740,July,2001,7
308,53958,July,2000,7
309,81520,July,2015,7
310,54386,July,2014,7
311,98693,July,2013,8
312,65045,July,2012,8
313,57763,July,2011,8
314,73491,July,2010,8
315,93804,July,2009,8
316,52897,July,2008,8
317,98422,July,2007,8
318,98784,July,2006,8
319,54792,July,2005,8
320,62724,July,2004,8
321,76047,July,2003,8
322,87851,July,2002,8
323,52993,July,2001,8
324,59690,July,2000,8
325,68091,July,2015,8
326,80254,July,2014,8
327,91295,July,2013,8
328,94140,July,2012,8
329,61469,July,2011,8
330,78580,July,2010,8
331,79099,July,2009,9
332,58802,July,2008,9
333,83530,July,2007,9
334,90132,July,2006,9
335,78610,July,2005,9
336,87713,July,2004,9
337,92338,July,2003,9
338,77742,July,2002,9
339,67747,July,2001,9
340,60729,July,2000,9
341,76676,July,2015,9
342,81796,July,2014,9
343,97110,July,2013,9
344,60736,July,2012,9
345,94328,July,2011,9
346,94123,July,2010,9
347,84820,July,2009,9
348,65367,July,2008,9
349,96349,July,2007,10
350,53008,July,2006,10
351,90801,July,2005,10
352,66840,July,2004,10
353,52915,July,2003,10
354,53779,July,2002,10
355,61208,July,2001,10
356,53710,July,2000,10
