sanction,owner_id,LoanId
No,FW001,101
Yes,FW002,102
No,FW003,103
No,FW004,104
No,FW005,105
Yes,FW006,106
Yes,FW007,107
Yes,FW008,108
Yes,FW009,109
No,FW010,110
No,FW011,111
No,FW012,112
No,FW013,113
No,FW014,114
No,FW015,115
No,FW016,116
No,FW017,117
No,FW018,118
No,FW019,119
No,FW020,120
No,FW021,121
Yes,FW022,122
Yes,FW023,123
No,FW024,124
Yes,FW025,125
Yes,FW026,126
No,FW027,127
No,FW028,128
Yes,FW029,129
No,FW030,130
Yes,FW031,131
Yes,FW032,132
No,FW033,133
Yes,FW034,134
No,FW035,135
No,FW036,136
No,FW037,137
Yes,FW038,138
Yes,FW039,139
Yes,FW040,140
Yes,FW041,141
No,FW042,142
No,FW043,143
No,FW044,144
No,FW045,145
Yes,FW046,146
No,FW047,147
Yes,FW048,148
Yes,FW049,149
Yes,FW050,150
No,FW051,151
No,FW052,152
No,FW053,153
No,FW054,154
No,FW055,155
No,FW056,156
Yes,FW057,157
Yes,FW058,158
No,FW059,159
Yes,FW060,160
Yes,FW061,161
Yes,FW062,162
No,FW063,163
No,FW064,164
Yes,FW065,165
Yes,FW066,166
Yes,FW067,167
No,FW068,168
No,FW069,169
Yes,FW070,170
No,FW071,171
Yes,FW072,172
No,FW073,173
No,FW074,174
No,FW075,175
Yes,FW076,176
Yes,FW077,177
Yes,FW078,178
No,FW079,179
No,FW080,180
No,FW081,181
No,FW082,182
Yes,FW083,183
No,FW084,184
Yes,FW085,185
Yes,FW086,186
No,FW087,187
No,FW088,188
No,FW089,189
No,FW090,190
No,FW091,191
Yes,FW092,192
Yes,FW093,193
Yes,FW094,194
No,FW095,195
Yes,FW096,196
Yes,FW097,197
No,FW098,198
Yes,FW099,199
Yes,FW100,200
No,FW101,201
Yes,FW102,202
No,FW103,203
Yes,FW104,204
No,FW105,205
Yes,FW106,206
Yes,FW107,207
Yes,FW108,208
No,FW109,209
Yes,FW110,210
Yes,FW111,211
Yes,FW112,212
Yes,FW113,213
No,FW114,214
Yes,FW115,215
Yes,FW116,216
Yes,FW117,217
No,FW118,218
No,FW119,219
No,FW120,220
Yes,FW121,221
No,FW122,222
No,FW123,223
Yes,FW124,224
No,FW125,225
Yes,FW126,226
No,FW127,227
Yes,FW128,228
Yes,FW129,229
Yes,FW130,230
Yes,FW131,231
No,FW132,232
No,FW133,233
Yes,FW134,234
No,FW135,235
No,FW136,236
Yes,FW137,237
No,FW138,238
Yes,FW139,239
No,FW140,240
No,FW141,241
No,FW142,242
No,FW143,243
Yes,FW144,244
Yes,FW145,245
Yes,FW146,246
Yes,FW147,247
No,FW148,248
Yes,FW149,249
Yes,FW150,250
No,FW151,251
No,FW152,252
Yes,FW153,253
Yes,FW154,254
Yes,FW155,255
No,FW156,256
Yes,FW157,257
Yes,FW158,258
Yes,FW159,259
Yes,FW160,260
No,FW161,261
No,FW162,262
Yes,FW163,263
No,FW164,264
Yes,FW165,265
No,FW166,266
Yes,FW167,267
Yes,FW168,268
Yes,FW169,269
No,FW170,270
Yes,FW171,271
Yes,FW172,272
No,FW173,273
Yes,FW174,274
Yes,FW175,275
Yes,FW176,276
Yes,FW177,277
No,FW178,278
Yes,FW179,279
No,FW180,280
Yes,FW181,281
No,FW182,282
No,FW183,283
Yes,FW184,284
Yes,FW185,285
Yes,FW186,286
Yes,FW187,287
No,FW188,288
Yes,FW189,289
No,FW190,290
